                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.78445,                0.44808,                 1.0322,                 0.9679,                 0.9851,                0.98909,                 0.7156,                 1.1302,                0.43744,                 1.4231,             0.00020003,             0.00020003,             0.00020003
                    124,                0.78662,                0.45517,                 1.0315,                 0.9758,                0.98366,                0.98763,                0.71417,                 1.1419,                0.44008,                 1.4213,             0.00019893,             0.00019893,             0.00019893
                    125,                0.79401,                0.46058,                 1.0333,                0.97359,                0.97884,                0.98791,                0.71408,                 1.1362,                 0.4314,                 1.4094,             0.00019784,             0.00019784,             0.00019784
                    126,                 0.7728,                0.43838,                 1.0198,                0.97591,                0.97852,                0.98705,                0.70762,                 1.1474,                 0.4415,                 1.4125,             0.00019674,             0.00019674,             0.00019674
                    127,                0.77729,                0.43941,                 1.0234,                0.97877,                0.97979,                0.98709,                0.71661,                 1.1473,                0.44043,                 1.4423,             0.00019564,             0.00019564,             0.00019564
                    128,                0.77987,                0.44187,                 1.0249,                0.98139,                 0.9812,                0.98927,                0.71768,                 1.1281,                0.43276,                 1.4368,             0.00019454,             0.00019454,             0.00019454
                    129,                0.76728,                0.43592,                 1.0149,                 0.9775,                0.97701,                0.98953,                0.71657,                 1.1471,                0.43862,                 1.4268,             0.00019344,             0.00019344,             0.00019344
                    130,                0.75897,                0.43554,                 1.0152,                0.97952,                0.97355,                0.98546,                0.71205,                  1.137,                0.42977,                 1.4312,             0.00019234,             0.00019234,             0.00019234
                    131,                0.76473,                0.44746,                 1.0152,                0.98144,                0.97558,                0.98845,                0.71304,                 1.1349,                0.43637,                 1.4176,             0.00019124,             0.00019124,             0.00019124
                    132,                0.75983,                0.43335,                 1.0122,                0.97331,                0.98105,                0.98769,                0.71127,                 1.1387,                0.44111,                 1.4196,             0.00019014,             0.00019014,             0.00019014
                    133,                0.76163,                0.43947,                 1.0157,                 0.9732,                0.98375,                 0.9875,                0.71584,                   1.14,                 0.4349,                 1.4438,             0.00018904,             0.00018904,             0.00018904
                    134,                0.75846,                0.43702,                 1.0171,                0.97756,                0.98532,                  0.989,                0.71681,                 1.1401,                 0.4308,                 1.4462,             0.00018795,             0.00018795,             0.00018795
                    135,                0.76158,                0.43797,                 1.0194,                0.97567,                0.98054,                0.98785,                0.70974,                 1.1443,                0.43738,                 1.4528,             0.00018685,             0.00018685,             0.00018685
                    136,                0.74214,                0.42875,                 1.0106,                0.97785,                0.98479,                0.98675,                0.70517,                 1.1471,                0.43517,                 1.4516,             0.00018575,             0.00018575,             0.00018575
                    137,                0.76509,                 0.4358,                 1.0206,                0.97912,                0.98608,                0.98671,                0.71765,                   1.13,                0.43521,                 1.4423,             0.00018465,             0.00018465,             0.00018465
                    138,                0.75394,                0.43606,                 1.0116,                0.97911,                0.98285,                0.98735,                0.72023,                 1.1282,                 0.4304,                 1.4293,             0.00018355,             0.00018355,             0.00018355
